-2000,-2000,-2000,1926,1999,1999
-1383,-1383,-1383,872,1807,1999
-1026,-1026,-1026,138,521,1268
350,350,350,356,-937,1927
1024,1024,1024,434,-2000,1999
397,397,397,-562,-2000,1978
-1683,-1683,-1683,-677,-421,1999
-1541,-1541,-1541,-1028,1120,1999
-2000,-2000,-2000,-1351,1130,1999
-2000,-2000,-2000,-1098,1482,1999
-1677,-1677,-1677,-727,1999,1149
23,23,23,-357,1999,-330
981,981,981,-15,1999,-996
-1560,-1560,-1560,428,1999,-819
-1868,-1868,-1868,1749,1999,1772
-1677,-1677,-1677,1927,1999,1999
-1873,-1873,-1873,635,1801,1999
-1628,-1628,-1628,305,469,1270
-364,-364,-364,486,-530,1999
907,907,907,544,-2000,1999
593,593,593,-291,-2000,1999
-1016,-1016,-1016,-183,-208,1999
-1319,-1319,-1319,-776,683,1999
-2000,-2000,-2000,-1018,1143,1999
-2000,-2000,-2000,-1050,1999,1947
-1724,-1724,-1724,-900,1999,784
-413,-413,-413,-552,1999,-762
1244,1244,1244,-191,1999,-1947
-1044,-1044,-1044,267,1999,-1303
-1632,-1632,-1632,1330,1999,1123
-2000,-2000,-2000,1750,1999,1999
-2000,-2000,-2000,962,1836,1999
-890,-890,-890,397,600,1193
103,103,103,422,-276,1798
1273,1273,1273,548,-1878,1999
700,700,700,-268,-2000,1712
-359,-359,-359,-268,-337,1999
-763,-763,-763,-834,848,1999
-2000,-2000,-2000,-1207,1409,1999
-2000,-2000,-2000,-1251,1931,1893
-1445,-1445,-1445,-888,1999,-52
119,119,119,-239,1999,-678
913,913,913,234,1999,-1162
-702,-702,-702,148,1999,-1175
-1686,-1686,-1686,983,1999,983
-2000,-2000,-2000,1819,1999,1999
-1902,-1902,-1902,954,1691,1999
-1122,-1122,-1122,81,383,1019
-530,-530,-530,346,-182,1239
357,357,357,522,-1344,1999
1040,1040,1040,-124,-2000,1609
26,26,26,-366,-1008,1999
-504,-504,-504,-578,553,1999
-1680,-1680,-1680,-1076,1489,1900
-2000,-2000,-2000,-1078,1903,765
-717,-717,-717,-791,1859,-330
438,438,438,-171,1619,-392
629,629,629,72,1999,-521
-199,-199,-199,-196,1999,-1261
-1128,-1128,-1128,436,1999,342
-1148,-1148,-1148,1354,1999,1249
-1661,-1661,-1661,1126,1854,1999
-1618,-1618,-1618,241,356,1999
-292,-292,-292,284,-627,1811
423,423,423,103,-1761,901
411,411,411,-348,-2000,-24
-432,-432,-432,-147,-1471,1861
-1024,-1024,-1024,-210,-156,1999
-1272,-1272,-1272,-863,627,1397
-1911,-1911,-1911,-903,1071,638
-1308,-1308,-1308,-627,1246,66
-436,-436,-436,-245,855,-299
-143,-143,-143,-73,448,-236
-106,-106,-106,14,298,-59
-86,-86,-86,-142,167,-188
-142,-142,-142,-136,-372,-40
-585,-585,-585,110,-513,158
-722,-722,-722,74,-264,338
299,299,299,22,-189,484
891,891,891,-31,-76,467
535,535,535,-205,3,85
92,92,92,-161,-96,-120
68,68,68,-113,146,-501
1252,1252,1252,32,637,-393
1037,1037,1037,285,835,138
-1692,-1692,-1692,214,-1511,1490
-2000,-2000,-2000,-56,-2000,630
-1024,-1024,-1024,-195,-931,-396
1261,1261,1261,-18,626,-369
7,7,7,192,-527,714
-362,-362,-362,370,489,747
-21,-21,-21,368,986,304
1670,1670,1670,-63,1046,-1624
828,828,828,-521,401,-524
537,537,537,-99,-378,871
521,521,521,40,304,401
334,334,334,71,460,-305
114,114,114,60,450,-591
-1891,-1891,-1891,-115,-337,-220
-1090,-1090,-1090,-292,-1493,-1250
296,296,296,-455,-2000,-94
741,741,741,378,-1538,-384
1215,1215,1215,974,-672,-2000
518,518,518,403,402,-1694
900,900,900,105,756,-545
606,606,606,151,1339,-254
58,58,58,32,1629,106
283,283,283,-188,1385,-243
-83,-83,-83,-442,1017,-1035
-405,-405,-405,-542,699,-2000
150,150,150,-591,84,-2000
-42,-42,-42,-694,-1597,-2000
131,131,131,-760,-2000,-647
-18,-18,-18,-1147,-2000,700
-679,-679,-679,-20,-2000,665
983,983,983,1263,-2000,-970
1999,1999,1999,1320,-2000,-2000
1931,1931,1931,634,-901,-2000
1169,1169,1169,645,115,-1890
245,245,245,506,556,-1142
-773,-773,-773,-27,1241,-377
-1273,-1273,-1273,68,1471,-1105
-1625,-1625,-1625,-58,1063,-2000
